PV,Hydropower
0.066565,-0.418499064
0.066565,-0.344438427
0.066565,0.152825852
0.066565,0.004704578
0.052826,-0.630100885
0.052826,-0.714741614
0.052826,-0.661841159
0.052826,-0.704161523
0.16952,-0.683001341
0.16952,-0.386758791
0.16952,-0.524299975
0.16952,-0.651261067
0.27687,-0.714741614
0.27687,-0.67242125
0.27687,-0.47139952
0.27687,-0.355018518
0.43639,-0.005875513
0.43639,-0.27037779
0.43639,-0.344438427
0.43639,-0.333858336
0.44904,-0.429079155
0.44904,-0.651261067
0.44904,-0.598360612
0.44904,-0.355018518
0.46213,-0.630100885
0.46213,-0.704161523
0.46213,-0.651261067
0.46213,-0.725321705
0.30548,-0.196317152
0.30548,-0.439659246
0.30548,-0.450239338
0.30548,-0.661841159
0.00073478,-0.704161523
0.00073478,-0.333858336
